,Dataset,Method,Metric,Patient,Performance
350,V-23_24,MMSBM,Accuracy,61,0.6610169491525424
351,V-23_24,MMSBM,Recall,62,0.7017543859649122
352,V-23_24,MMSBM,Precision,62,0.8510638296061566
353,V-23_24,MMSBM,Accuracy,62,0.7033898305084746
354,V-23_24,MMSBM,Recall,63,0.7169811320754716
355,V-23_24,MMSBM,Precision,63,0.8444444442567901
356,V-23_24,MMSBM,Accuracy,63,0.7203389830508474
357,V-23_24,MMSBM,Recall,64,0.6785714285714286
358,V-23_24,MMSBM,Precision,64,0.8444444442567901
359,V-23_24,MMSBM,Accuracy,64,0.6949152542372882
360,V-23_24,MMSBM,Recall,65,0.7209302325581395
361,V-23_24,MMSBM,Precision,65,0.6888888887358025
362,V-23_24,MMSBM,Accuracy,65,0.7627118644067796
363,V-23_24,MMSBM,Recall,179,0.36363636363636365
364,V-23_24,MMSBM,Precision,179,0.5714285710204081
365,V-23_24,MMSBM,Accuracy,179,0.8135593220338984
366,V-23_24,MMSBM,Recall,67,0.6792452830188679
367,V-23_24,MMSBM,Precision,67,0.6792452828907084
368,V-23_24,MMSBM,Accuracy,67,0.652542372881356
369,V-23_24,MMSBM,Recall,68,0.75
370,V-23_24,MMSBM,Precision,68,0.8297872338660027
371,V-23_24,MMSBM,Accuracy,68,0.7542372881355932
372,V-23_24,MMSBM,Recall,69,0.7333333333333333
373,V-23_24,MMSBM,Precision,69,0.6874999997851562
374,V-23_24,MMSBM,Accuracy,69,0.8305084745762712
375,V-23_24,MMSBM,Recall,175,0.6666666666666666
376,V-23_24,MMSBM,Precision,175,0.6976744184424013
377,V-23_24,MMSBM,Accuracy,175,0.728813559322034
378,V-23_24,MMSBM,Recall,174,0.6842105263157895
379,V-23_24,MMSBM,Precision,174,0.702702702512783
380,V-23_24,MMSBM,Accuracy,174,0.7542372881355932
381,V-23_24,MMSBM,Recall,173,0.6153846153846154
382,V-23_24,MMSBM,Precision,173,0.7741935481373569
383,V-23_24,MMSBM,Accuracy,173,0.8050847457627119
384,V-23_24,MMSBM,Recall,177,0.74
385,V-23_24,MMSBM,Precision,177,0.7872340423856948
386,V-23_24,MMSBM,Accuracy,177,0.7627118644067796
387,V-23_24,MMSBM,Recall,171,0.6
388,V-23_24,MMSBM,Precision,171,0.6857142855183673
389,V-23_24,MMSBM,Accuracy,171,0.7457627118644068
390,V-23_24,MMSBM,Recall,170,0.6428571428571429
391,V-23_24,MMSBM,Precision,170,0.7999999998222223
392,V-23_24,MMSBM,Accuracy,170,0.7033898305084746
393,V-23_24,MMSBM,Recall,182,0.5555555555555556
394,V-23_24,MMSBM,Precision,182,0.7142857139455782
395,V-23_24,MMSBM,Accuracy,182,0.8389830508474577
396,V-23_24,MMSBM,Recall,183,0.6904761904761905
397,V-23_24,MMSBM,Precision,183,0.7435897433990796
398,V-23_24,MMSBM,Accuracy,183,0.7372881355932204
399,V-23_24,MMSBM,Recall,180,0.6666666666666666
400,V-23_24,MMSBM,Precision,180,0.7333333330888888
401,V-23_24,MMSBM,Accuracy,180,0.7881355932203391
402,V-23_24,MMSBM,Recall,181,0.5365853658536586
403,V-23_24,MMSBM,Precision,181,0.6470588233391004
404,V-23_24,MMSBM,Accuracy,181,0.6949152542372881
405,V-23_24,MMSBM,Recall,186,0.675
406,V-23_24,MMSBM,Precision,186,0.7297297295325055
407,V-23_24,MMSBM,Accuracy,186,0.7372881355932204
408,V-23_24,MMSBM,Recall,187,0.5555555555555556
409,V-23_24,MMSBM,Precision,187,0.7142857139455782
410,V-23_24,MMSBM,Accuracy,187,0.8305084745762712
411,V-23_24,MMSBM,Recall,184,0.4375
412,V-23_24,MMSBM,Precision,184,0.6363636357851239
413,V-23_24,MMSBM,Accuracy,184,0.8728813559322033
414,V-23_24,MMSBM,Recall,6,0.7454545454545455
415,V-23_24,MMSBM,Precision,6,0.8367346937067889
416,V-23_24,MMSBM,Accuracy,6,0.7457627118644068
417,V-23_24,MMSBM,Recall,188,0.6818181818181818
418,V-23_24,MMSBM,Precision,188,0.7142857141156462
419,V-23_24,MMSBM,Accuracy,188,0.7457627118644068
420,V-23_24,MMSBM,Recall,189,0.3157894736842105
421,V-23_24,MMSBM,Precision,189,0.7499999990624999
422,V-23_24,MMSBM,Accuracy,189,0.8559322033898304
423,V-23_24,MMSBM,Recall,202,0.6666666666666666
424,V-23_24,MMSBM,Precision,202,0.6829268291017252
425,V-23_24,MMSBM,Accuracy,202,0.6779661016949152
426,V-23_24,MMSBM,Recall,196,0.4883720930232558
427,V-23_24,MMSBM,Precision,196,0.72413793078478
428,V-23_24,MMSBM,Accuracy,196,0.7288135593220338
429,V-23_24,MMSBM,Recall,97,0.7547169811320755
430,V-23_24,MMSBM,Precision,97,0.7692307690828403
431,V-23_24,MMSBM,Accuracy,97,0.6864406779661018
432,V-23_24,MMSBM,Recall,185,0.40625
433,V-23_24,MMSBM,Precision,185,0.6190476187528344
434,V-23_24,MMSBM,Accuracy,185,0.7796610169491525
435,V-23_24,MMSBM,Recall,99,0.8043478260869565
436,V-23_24,MMSBM,Precision,99,0.9024390241701368
437,V-23_24,MMSBM,Accuracy,99,0.8135593220338982
438,V-23_24,MMSBM,Recall,98,0.8297872340425532
439,V-23_24,MMSBM,Precision,98,0.8478260867722117
440,V-23_24,MMSBM,Accuracy,98,0.8305084745762712
441,V-23_24,MMSBM,Recall,168,0.675
442,V-23_24,MMSBM,Precision,168,0.7297297295325055
443,V-23_24,MMSBM,Accuracy,168,0.7288135593220338
444,V-23_24,MMSBM,Recall,169,0.375
445,V-23_24,MMSBM,Precision,169,0.5294117643944637
446,V-23_24,MMSBM,Accuracy,169,0.8050847457627118
447,V-23_24,MMSBM,Recall,91,0.4838709677419355
448,V-23_24,MMSBM,Precision,91,0.6818181815082645
449,V-23_24,MMSBM,Accuracy,91,0.7627118644067797
450,V-23_24,MMSBM,Recall,90,0.65
451,V-23_24,MMSBM,Precision,90,0.8124999997460938
452,V-23_24,MMSBM,Accuracy,90,0.7711864406779662
453,V-23_24,MMSBM,Recall,93,0.5909090909090909
454,V-23_24,MMSBM,Precision,93,0.742857142644898
455,V-23_24,MMSBM,Accuracy,93,0.6949152542372882
456,V-23_24,MMSBM,Recall,92,0.6744186046511628
457,V-23_24,MMSBM,Precision,92,0.8285714283346939
458,V-23_24,MMSBM,Accuracy,92,0.7966101694915254
459,V-23_24,MMSBM,Recall,95,0.6842105263157895
460,V-23_24,MMSBM,Precision,95,0.8297872338660027
461,V-23_24,MMSBM,Accuracy,95,0.6949152542372882
462,V-23_24,MMSBM,Recall,94,0.631578947368421
463,V-23_24,MMSBM,Precision,94,0.765957446645541
464,V-23_24,MMSBM,Accuracy,94,0.7118644067796611
465,V-23_24,MMSBM,Recall,221,0.66
466,V-23_24,MMSBM,Precision,221,0.7173913041918715
467,V-23_24,MMSBM,Accuracy,221,0.6949152542372881
468,V-23_24,MMSBM,Recall,220,0.5769230769230769
469,V-23_24,MMSBM,Precision,220,0.7142857139455782
470,V-23_24,MMSBM,Accuracy,220,0.8220338983050848
471,V-23_24,MMSBM,Recall,11,0.5490196078431373
472,V-23_24,MMSBM,Precision,11,0.6999999998249999
473,V-23_24,MMSBM,Accuracy,11,0.6779661016949153
